id,REF_AREA,TIME_PERIOD,RIVER_FLOOD_VALUE,TERRITORIAL_LEVEL
MEX51F2015,MEX51F,2015,11.7,FUA
FR023F2000,FR023F,2000,0.0,FUA
FR023F2015,FR023F,2015,0.0,FUA
ES067C2000,ES067C,2000,16.1,CITY
ES067C2015,ES067C,2015,16.2,CITY
FR041C2000,FR041C,2000,0.0,CITY
FR041C2015,FR041C,2015,0.0,CITY
USA41C2000,USA41C,2000,7.6,CITY
USA41C2015,USA41C,2015,7.6,CITY
USA108C2000,USA108C,2000,2.5,CITY
USA108C2015,USA108C,2015,2.6,CITY
AUS07C2000,AUS07C,2000,0.0,CITY
AUS07C2015,AUS07C,2015,0.1,CITY
FR042F2000,FR042F,2000,0.0,FUA
FR042F2015,FR042F,2015,0.0,FUA
EL011C2000,EL011C,2000,1.7,CITY
EL011C2015,EL011C,2015,1.8,CITY
DE037C2000,DE037C,2000,21.3,CITY
DE037C2015,DE037C,2015,20.8,CITY
ES007F2000,ES007F,2000,21.1,FUA
ES007F2015,ES007F,2015,21.3,FUA
COL32F2000,COL32F,2000,54.9,FUA
COL32F2015,COL32F,2015,53.4,FUA
FR063F2000,FR063F,2000,0.0,FUA
FR063F2015,FR063F,2015,0.0,FUA
PL037C2000,PL037C,2000,0.0,CITY
PL037C2015,PL037C,2015,0.0,CITY
BG014F2000,BG014F,2000,2.0,FUA
BG014F2015,BG014F,2015,2.2,FUA
LV003F2000,LV003F,2000,26.9,FUA
LV003F2015,LV003F,2015,27.3,FUA
USA139C2000,USA139C,2000,0.0,CITY
USA139C2015,USA139C,2015,0.0,CITY
NZL07C2000,NZL07C,2000,0.0,CITY
NZL07C2015,NZL07C,2015,0.0,CITY
NZL09F2000,NZL09F,2000,0.0,FUA
NZL09F2015,NZL09F,2015,0.0,FUA
CAN26F2000,CAN26F,2000,10.7,FUA
CAN26F2015,CAN26F,2015,10.7,FUA
JPN41C2000,JPN41C,2000,0.0,CITY
JPN41C2015,JPN41C,2015,0.0,CITY
IT021F2000,IT021F,2000,0.0,FUA
IT021F2015,IT021F,2015,0.0,FUA
BG007F2000,BG007F,2000,46.1,FUA
BG007F2015,BG007F,2015,46.4,FUA
MEX81F2000,MEX81F,2000,24.1,FUA
MEX81F2015,MEX81F,2015,24.2,FUA
FR012F2000,FR012F,2000,46.7,FUA
FR012F2015,FR012F,2015,44.3,FUA
USA141C2000,USA141C,2000,2.1,CITY
USA141C2015,USA141C,2015,2.2,CITY
UK562F2000,UK562F,2000,5.1,FUA
UK562F2015,UK562F,2015,5.2,FUA
UK046C2000,UK046C,2000,0.0,CITY
UK046C2015,UK046C,2015,0.0,CITY
DE058F2000,DE058F,2000,16.9,FUA
DE058F2015,DE058F,2015,16.7,FUA
DE064C2000,DE064C,2000,60.1,CITY
DE064C2015,DE064C,2015,61.2,CITY
ES009F2000,ES009F,2000,25.8,FUA
ES009F2015,ES009F,2015,25.6,FUA
JPN26F2000,JPN26F,2000,0.0,FUA
JPN26F2015,JPN26F,2015,0.0,FUA
COL12F2000,COL12F,2000,0.0,FUA
COL12F2015,COL12F,2015,0.0,FUA
USA142F2000,USA142F,2000,0.9,FUA
USA142F2015,USA142F,2015,0.9,FUA
USA193C2000,USA193C,2000,2.2,CITY
USA193C2015,USA193C,2015,2.3,CITY
BG004C2000,BG004C,2000,6.7,CITY
BG004C2015,BG004C,2015,6.8,CITY
PL022F2000,PL022F,2000,8.8,FUA
PL022F2015,PL022F,2015,8.8,FUA
USA189C2000,USA189C,2000,6.8,CITY
USA189C2015,USA189C,2015,6.9,CITY
UK553C2000,UK553C,2000,0.0,CITY
UK553C2015,UK553C,2015,0.0,CITY
RO029F2000,RO029F,2000,0.7,FUA
RO029F2015,RO029F,2015,0.7,FUA
TR011F2000,TR011F,2000,21.5,FUA
TR011F2015,TR011F,2015,20.7,FUA
JPN39F2000,JPN39F,2000,0.0,FUA
JPN39F2015,JPN39F,2015,0.0,FUA
MEX48C2000,MEX48C,2000,0.0,CITY
MEX48C2015,MEX48C,2015,0.0,CITY
USA190C2000,USA190C,2000,10.7,CITY
USA190C2015,USA190C,2015,10.7,CITY
NL016C2000,NL016C,2000,40.9,CITY
NL016C2015,NL016C,2015,41.1,CITY
MEX03C2000,MEX03C,2000,0.0,CITY
MEX03C2015,MEX03C,2015,1.4,CITY
USA21C2000,USA21C,2000,5.7,CITY
USA21C2015,USA21C,2015,5.8,CITY
UK012C2000,UK012C,2000,7.7,CITY
UK012C2015,UK012C,2015,8.1,CITY
PL013F2000,PL013F,2000,4.5,FUA
PL013F2015,PL013F,2015,5.2,FUA
FR003C2000,FR003C,2000,0.0,CITY
FR003C2015,FR003C,2015,0.0,CITY
AUS07F2000,AUS07F,2000,0.1,FUA
AUS07F2015,AUS07F,2015,0.1,FUA
UK543F2000,UK543F,2000,0.0,FUA
UK543F2015,UK543F,2015,0.0,FUA
JPN23F2000,JPN23F,2000,0.0,FUA
JPN23F2015,JPN23F,2015,0.0,FUA
USA12C2000,USA12C,2000,1.1,CITY
USA12C2015,USA12C,2015,1.1,CITY
MEX59F2000,MEX59F,2000,19.8,FUA
MEX59F2015,MEX59F,2015,19.1,FUA
DE001F2000,DE001F,2000,15.8,FUA
DE001F2015,DE001F,2015,15.9,FUA
CAN10F2000,CAN10F,2000,0.0,FUA
CAN10F2015,CAN10F,2015,0.0,FUA
BG009C2000,BG009C,2000,5.2,CITY
BG009C2015,BG009C,2015,6.0,CITY
USA111C2000,USA111C,2000,0.0,CITY
USA111C2015,USA111C,2015,0.0,CITY
TR005F2000,TR005F,2000,4.4,FUA
TR005F2015,TR005F,2015,4.6,FUA
UK572C2000,UK572C,2000,4.7,CITY
UK572C2015,UK572C,2015,4.7,CITY
NZL11F2000,NZL11F,2000,0.0,FUA
NZL11F2015,NZL11F,2015,0.0,FUA
DE074F2000,DE074F,2000,14.0,FUA
DE074F2015,DE074F,2015,13.8,FUA
IE002F2000,IE002F,2000,7.0,FUA
IE002F2015,IE002F,2015,6.7,FUA
ES008F2000,ES008F,2000,0.0,FUA
ES008F2015,ES008F,2015,0.0,FUA
CL013C2000,CL013C,2000,14.2,CITY
CL013C2015,CL013C,2015,16.3,CITY
MEX87C2000,MEX87C,2000,0.0,CITY
MEX87C2015,MEX87C,2015,0.0,CITY
KOR14C2000,KOR14C,2000,0.0,CITY
KOR14C2015,KOR14C,2015,0.0,CITY
KOR04F2000,KOR04F,2000,0.0,FUA
KOR04F2015,KOR04F,2015,0.0,FUA
USA54F2000,USA54F,2000,13.1,FUA
USA54F2015,USA54F,2015,13.1,FUA
USA101C2000,USA101C,2000,8.7,CITY
USA101C2015,USA101C,2015,8.9,CITY
DE099C2000,DE099C,2000,8.3,CITY
DE099C2015,DE099C,2015,9.0,CITY
ES096C2000,ES096C,2000,0.0,CITY
ES096C2015,ES096C,2015,0.0,CITY
ES040F2000,ES040F,2000,13.8,FUA
ES040F2015,ES040F,2015,14.1,FUA
